customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Monthly,Total,Contrato_Longo
0002-orfbo,no,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,one year,yes,mailed check,65.6,593.3,True
0003-mknfe,no,male,0,no,no,9,yes,yes,dsl,no,no,no,no,no,yes,month-to-month,no,mailed check,59.9,542.4,False
0004-tlhlj,yes,male,0,no,no,4,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,73.9,280.85,False
0011-igkff,yes,male,1,yes,no,13,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,98.0,1237.85,False
0013-exchz,yes,female,1,yes,no,3,yes,no,fiber optic,no,no,no,yes,yes,no,month-to-month,yes,mailed check,83.9,267.4,False
0013-mhzwf,no,female,0,no,yes,9,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,credit card,69.4,571.45,False
0013-smeoe,no,female,1,yes,no,71,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer,109.7,7904.25,True
0014-bmaqu,no,male,0,yes,no,63,yes,yes,fiber optic,yes,no,no,yes,no,no,two year,yes,credit card,84.65,5377.8,True
0015-uocoj,no,female,1,no,no,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,48.2,340.35,False
0016-qljis,no,female,0,yes,yes,65,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,mailed check,90.45,5957.9,True
0017-dinoc,no,male,0,no,no,54,no,no,dsl,yes,no,no,yes,yes,no,two year,no,credit card,45.2,2460.55,True
0017-iudmw,no,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card,116.8,8456.75,True
0018-nyrou,no,female,0,yes,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,68.95,351.5,False
0019-efaep,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,bank transfer,101.3,7261.25,True
0019-gfntw,no,female,0,no,no,56,no,no,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer,45.05,2560.1,True
0020-inwck,no,female,0,yes,yes,71,yes,yes,fiber optic,no,yes,yes,no,no,yes,two year,yes,credit card,95.75,6849.4,True
0020-jdnxp,no,female,0,yes,yes,34,no,no,dsl,yes,no,yes,yes,yes,yes,one year,no,mailed check,61.25,1993.2,True
0021-ikxgc,no,female,1,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,72.1,72.1,False
0022-tcjci,yes,male,1,no,no,45,yes,no,dsl,yes,no,yes,no,no,yes,one year,no,credit card,62.7,2791.5,True
0023-hghwl,yes,male,1,no,no,1,no,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,25.1,25.1,False
0023-uyupn,no,female,1,yes,no,50,yes,yes,no,no,no,no,no,no,no,one year,no,electronic check,25.2,1306.3,True
0023-xuopt,yes,female,0,yes,no,13,yes,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,no,electronic check,94.1,1215.6,False
0027-kwykw,no,female,0,yes,yes,23,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,83.75,1849.95,False
0030-fnxpp,no,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.85,57.2,False
0031-pvlzi,yes,female,0,yes,yes,4,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,20.35,76.35,False
0032-pgels,yes,female,0,yes,yes,1,no,no,dsl,yes,no,no,no,no,no,month-to-month,no,bank transfer,30.5,30.5,False
0036-ihmot,no,female,0,yes,yes,55,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer,103.7,5656.75,True
0040-halcw,no,male,0,yes,yes,54,yes,no,no,no,no,no,no,no,no,two year,no,credit card,20.4,1090.6,True
0042-jvwoj,no,male,0,no,no,26,yes,no,no,no,no,no,no,no,no,one year,yes,bank transfer,19.6,471.85,True
0042-rlhyp,no,female,0,yes,yes,69,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer,19.7,1396.9,True
0048-lumls,no,male,0,yes,yes,37,yes,no,fiber optic,no,no,no,no,yes,yes,one year,no,credit card,91.2,3247.55,True
0048-pihnl,no,female,0,yes,no,49,yes,no,no,no,no,no,no,no,no,one year,no,bank transfer,20.45,900.9,True
0052-dckon,no,male,0,yes,no,66,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,bank transfer,115.8,7942.15,True
0052-ynyot,no,female,0,no,no,67,yes,no,no,no,no,no,no,no,no,one year,no,electronic check,20.55,1343.4,True
0056-epfbg,no,male,0,yes,yes,20,no,no,dsl,yes,no,yes,yes,no,no,two year,yes,credit card,39.4,825.4,True
0057-qbuqh,no,female,0,no,yes,43,yes,yes,no,no,no,no,no,no,no,two year,yes,electronic check,25.1,1070.15,True
0058-evzwm,no,female,0,yes,no,55,yes,yes,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,bank transfer,89.8,4959.6,False
0060-fualy,no,female,0,yes,no,59,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,94.75,5597.65,False
0064-sudog,no,female,0,yes,yes,12,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer,20.3,224.5,True
0064-yijgf,no,male,0,yes,yes,27,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer,75.75,1929.0,False
0067-dkwbl,yes,male,1,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,49.25,91.1,False
0068-figtf,no,female,0,no,no,27,yes,no,dsl,no,yes,yes,yes,yes,yes,one year,no,mailed check,78.2,2078.95,True
0071-ndafp,no,male,0,yes,yes,25,yes,yes,no,no,no,no,no,no,no,two year,no,credit card,25.5,630.6,True
0074-hdkdg,no,male,0,yes,yes,25,yes,no,dsl,yes,yes,yes,no,no,no,one year,yes,bank transfer,61.6,1611.0,True
0076-lveps,no,male,0,no,yes,29,no,no,dsl,yes,yes,yes,yes,no,no,month-to-month,yes,mailed check,45.0,1242.45,False
0078-xzmht,no,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer,85.15,6316.2,True
0080-emyvy,no,female,0,no,no,14,yes,no,dsl,no,yes,no,no,no,no,one year,no,credit card,51.45,727.85,True
0080-orozo,no,female,0,no,no,35,yes,no,fiber optic,no,no,yes,yes,yes,yes,one year,yes,electronic check,99.25,3532.0,True
0082-ldzue,no,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,44.3,44.3,False
0082-oqiqy,no,male,0,no,no,29,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,94.2,2607.6,False
0083-pivik,no,male,0,no,no,64,yes,yes,dsl,yes,yes,yes,yes,yes,no,one year,no,electronic check,81.25,5567.55,True
0089-iiqko,no,female,0,yes,yes,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,credit card,99.95,3767.4,False
0093-exyql,no,female,1,no,no,40,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.55,3673.6,False
0093-xwzfy,yes,male,0,no,no,40,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit card,104.5,4036.85,False
